id,name,cpu,ram,gpu,battery,volume,weight,display,maker,sw_os,price,image,content
1,삼성전자 노트북 NT350XCR-AD5WA,인텔_코어i5-10세대_i5-10210U (1.6GHz),8,내장그래픽,43,256GB,1.81,15.6,삼성전자,미포함(프리도스),798000,삼성전자imgs0.jpg,삼성전자imgsdt0.jpg
2,삼성전자 갤럭시북 이온2 NT950XDA-X71AW,인텔_코어i7-11세대_i7-1165G7 (2.8GHz),16,MX450,69.7,512GB,1.26,15.6,삼성전자,윈도우10,2249000,삼성전자imgs1.jpg,삼성전자imgsdt1.jpg
3,삼성전자 갤럭시북 이온2 NT950XDZ-A58AW,인텔_코어i5-11세대_i5-1135G7 (2.4GHz),8,내장그래픽,69.7,256GB,1.19,15.6,삼성전자,미포함(프리도스),1548000,삼성전자imgs2.jpg,삼성전자imgsdt2.jpg
4,삼성전자 노트북 NT350XCR-A58M,인텔_코어i5-10세대_i5-10210U (1.6GHz),8,내장그래픽,43,256GB,1.81,15.6,삼성전자,미포함(프리도스),739190,삼성전자imgs3.jpg,삼성전자imgsdt3.jpg
5,삼성전자 갤럭시북 이온2 NT950XDZ-G58AW,인텔_코어i5-11세대_i5-1135G7 (2.4GHz),8,MX450,69.7,256GB,1.26,15.6,삼성전자,미포함(프리도스),1778000,삼성전자imgs4.jpg,삼성전자imgsdt4.jpg
6,삼성전자 노트북 플러스 NT550XCR-AD3A WIN10,인텔_코어i3-10세대_i3-10110U (2.1GHz),4,내장그래픽,43,256GB,1.81,15.6,삼성전자,윈도우10,828720,삼성전자imgs5.jpg,삼성전자imgsdt5.jpg
7,삼성전자 노트북 플러스2 NT560XDZ-G78A,인텔_코어i7-11세대_i7-1165G7 (2.8GHz),8,GTX1650 TiMAX-Q,43,256GB,1.85,15.6,삼성전자,미포함(프리도스),1599000,삼성전자imgs6.jpg,삼성전자imgsdt6.jpg
8,삼성전자 갤럭시북S NT767XCL-KLTE,인텔_코어i5-10세대_i5-L16G7 (1.4GHz),8,내장그래픽,42,512GB,0.95,13.3,삼성전자,윈도우10,1398000,삼성전자imgs7.jpg,삼성전자imgsdt7.jpg
9,삼성전자 갤럭시북 이온2 NT930XDZ-A58AW,인텔_코어i5-11세대_i5-1135G7 (2.4GHz),8,내장그래픽,69.7,256GB,0.97,13.3,삼성전자,미포함(프리도스),1369000,삼성전자imgs8.jpg,삼성전자imgsdt8.jpg
10,삼성전자 갤럭시북 이온2 NT930XDZ-A38AW,인텔_코어i3-11세대_i3-1115G4 (3.0GHz),8,내장그래픽,69.7,256GB,0.97,13.3,삼성전자,미포함(프리도스),1198000,삼성전자imgs9.jpg,삼성전자imgsdt9.jpg
11,삼성전자 갤럭시북 플렉스2 NT930QDZ-A58AZ,인텔_코어i5-11세대_i5-1130G7 (1.8GHz),8,내장그래픽,69.7,256GB,1.16,13.3,삼성전자,미포함(프리도스),1748000,삼성전자imgs10.jpg,삼성전자imgsdt10.jpg
12,삼성전자 갤럭시북 플렉스 알파 NT750QCR-A78A,인텔_코어i7-10세대_i7-10510U (1.8GHz),8,내장그래픽,54,256GB,1.63,15.6,삼성전자,미포함(프리도스),1698990,삼성전자imgs11.jpg,삼성전자imgsdt11.jpg
